,02-11-2018;teams_700.csv,03-11-2018;teams_700.csv,04-11-2018;teams_600.csv,05-11-2018;teams_700.csv,07-11-2018;teams_700.csv,09-11-2018;teams_700.csv,10-11-2018;teams_700.csv,21-11-2018;teams_700.csv,23-11-2018;teams_700.csv,26-11-2018;teams_700.csv,28-11-2018;teams_700.csv,21-12-2018;teams_700.csv,03-12-2018;teams_700.csv,05-12-2018;teams_700.csv,07-12-2018;teams_700.csv,08-12-2018;teams_700.csv,01-11-2018;teams_700.csv,06-11-2018;teams_700.csv,08-11-2018;teams_800.csv,23-11-2018;teams_800.csv,24-11-2018;teams_730.csv,25-11-2018;teams_600.csv,27-11-2018;teams_700.csv,28-11-2018;teams_800.csv,01-12-2018;teams_700.csv,03-12-2018;teams_730.csv,04-12-2018;teams_700.csv,05-12-2018;teams_800.csv,09-12-2018;teams_600.csv
14,261.25,253.25,220.75,273.0,247.0,285.25,281.25,266.75,269.25,314.0,306.5,237.5,264.25,249.25,283.5,272.25,350.25,269.5,286.5,291.0,321.0,271.25,238.75,268.5,254.75,295.75,228.5,219.0,188.5
15,236.0,284.5,197.75,262.5,239.0,272.0,266.5,267.75,226.75,294.75,269.5,247.75,214.5,259.0,245.0,270.25,354.75,280.75,304.5,256.5,352.5,302.5,241.25,269.25,263.25,246.25,220.0,216.5,234.5
16,240.0,292.5,257.75,233.75,223.25,257.75,262.75,269.75,291.99,305.75,261.25,245.5,265.25,270.75,274.75,299.5,340.25,269.5,280.0,266.75,347.0,344.0,229.75,286.5,270.25,266.5,215.0,239.5,227.75
17,252.75,273.0,243.0,292.25,300.75,259.5,262.75,281.75,260.5,312.0,293.5,228.75,252.5,297.75,282.25,306.25,318.75,261.75,289.5,271.5,330.0,323.25,196.75,281.75,271.5,218.0,230.75,218.25,209.0
18,266.75,254.75,205.5,281.75,278.5,281.5,220.25,260.75,252.25,304.0,276.75,230.75,220.75,262.0,252.25,286.5,330.5,274.75,323.75,254.5,320.25,271.0,271.5,246.5,238.0,232.0,207.0,208.5,239.5
19,273.5,258.75,243.5,268.0,256.25,273.5,252.25,275.75,254.5,284.75,277.0,225.5,266.25,291.75,281.0,282.75,347.75,275.0,319.5,251.5,342.5,293.25,237.75,291.0,277.5,228.75,234.0,203.5,251.25
20,214.5,254.25,224.5,248.5,233.5,263.5,267.25,289.25,220.5,285.5,304.5,257.75,249.5,290.0,257.5,239.25,328.75,258.0,282.75,297.75,353.5,288.5,261.75,243.25,250.0,250.0,249.25,257.75,237.5
21,263.25,266.0,227.5,293.5,230.5,262.5,256.25,234.0,232.0,298.75,245.5,252.25,268.5,255.25,251.5,276.0,326.25,264.0,336.75,253.5,342.25,272.75,271.0,227.5,240.75,291.75,247.75,215.25,276.75
22,270.25,221.5,218.0,251.75,279.75,264.75,262.5,264.75,235.0,289.25,267.5,231.5,217.75,266.75,288.0,287.75,293.25,283.0,316.75,254.0,337.75,321.75,232.0,230.0,262.75,246.75,244.75,266.0,214.25
23,245.25,245.5,232.0,264.75,288.25,262.0,237.75,264.0,264.5,311.75,264.25,243.0,269.75,278.5,288.75,246.75,335.25,240.5,330.25,274.75,355.5,336.5,233.0,273.75,274.25,272.25,208.0,226.5,212.0
24,266.0,282.25,250.75,253.75,261.75,270.0,296.5,310.75,242.5,279.5,276.25,279.25,230.75,257.5,292.75,271.0,335.75,268.0,323.75,257.0,360.5,264.0,254.75,245.5,241.25,258.75,208.75,257.0,251.25
25,240.5,282.0,213.75,285.0,307.0,261.0,267.5,234.25,285.0,325.75,254.25,237.0,227.75,269.75,264.5,245.25,338.0,292.75,310.25,252.75,310.5,321.0,221.5,249.0,262.5,283.5,238.75,220.0,279.0
26,274.5,272.25,235.25,264.75,288.75,244.5,254.75,250.5,250.75,303.0,267.5,223.5,226.75,260.5,297.0,283.75,325.75,264.0,307.25,237.5,327.25,248.5,235.75,302.5,261.0,282.0,209.5,212.25,229.75
27,237.75,268.0,232.0,239.75,244.0,259.25,221.0,279.75,252.75,324.5,288.5,255.25,240.5,244.75,295.75,257.0,317.25,253.25,317.25,282.25,304.5,268.0,231.5,309.75,246.75,278.5,210.75,189.5,253.5
28,271.75,258.25,235.25,270.0,287.0,274.75,297.0,288.25,234.5,312.25,302.0,260.5,257.5,255.25,272.25,255.0,341.25,268.0,309.0,256.75,312.0,258.25,255.25,230.75,264.75,287.5,213.25,262.75,219.0
29,227.25,287.75,229.5,265.75,305.0,283.75,267.75,280.5,295.0,328.75,252.25,226.5,223.25,291.5,301.75,276.0,321.0,242.5,310.75,289.0,329.5,299.25,231.0,249.0,271.5,221.75,259.25,225.75,300.75
30,240.25,307.25,235.25,254.5,296.0,241.25,228.0,298.25,244.75,315.75,224.75,240.75,229.0,272.0,278.25,280.75,328.75,256.25,301.0,263.75,273.5,336.75,241.75,269.75,278.75,231.75,218.25,219.25,230.75
31,249.5,273.5,247.75,259.5,249.75,265.0,262.0,272.0,280.25,318.5,266.75,245.0,239.25,266.5,311.75,288.0,323.75,278.75,318.0,243.25,331.5,304.0,188.5,244.0,247.75,228.5,224.25,178.5,260.25
32,247.25,245.0,253.5,285.0,278.0,286.25,247.25,273.25,242.25,296.75,278.75,259.0,232.0,295.75,324.0,269.5,322.25,260.25,287.25,264.25,336.5,284.5,210.5,234.75,250.0,224.75,231.0,232.5,286.0
33,221.5,281.5,239.75,233.75,283.75,246.0,263.25,288.25,276.0,321.5,274.25,274.0,246.25,284.0,311.5,334.75,343.25,264.5,308.75,276.25,346.5,323.0,232.5,217.25,242.5,296.75,218.0,279.5,258.25
34,237.25,265.75,202.75,274.5,280.75,240.5,271.5,288.0,234.0,322.25,271.75,251.25,226.75,256.25,290.5,330.5,317.0,264.5,319.0,251.25,332.25,320.0,253.5,253.75,258.75,270.25,206.5,283.25,281.5
35,243.25,263.75,221.5,284.5,248.25,228.75,267.5,294.25,257.25,310.75,242.25,251.75,242.25,266.75,319.25,252.5,317.25,247.75,320.5,266.5,353.5,279.75,229.5,262.0,259.0,258.5,213.5,209.5,231.0
36,237.25,291.25,206.0,267.25,260.75,254.5,271.5,302.75,295.75,299.5,288.0,248.0,242.25,263.25,300.75,269.0,328.75,294.0,311.5,256.0,325.25,314.0,238.75,252.75,264.5,269.5,214.5,240.25,234.75
37,234.0,235.0,256.75,251.75,241.75,241.0,247.75,259.75,267.75,317.0,283.25,253.25,237.0,269.5,300.5,267.25,341.5,264.5,300.5,235.0,332.75,258.0,279.75,243.0,265.0,219.75,215.75,251.0,232.75
38,242.75,281.5,240.25,285.5,244.0,258.5,233.25,304.25,216.5,310.75,306.5,248.25,245.75,287.0,271.75,256.5,322.75,302.75,280.75,252.25,328.5,333.5,248.25,302.5,248.75,228.75,209.0,177.75,287.0
39,269.0,295.5,241.25,290.5,258.0,226.75,289.25,275.5,244.5,299.0,275.5,270.25,256.5,274.25,304.0,297.0,355.75,264.5,302.25,256.75,319.5,314.25,262.75,273.25,243.25,270.25,221.0,281.25,236.75
40,265.0,285.75,224.0,240.5,233.75,295.0,245.0,265.5,259.0,311.0,302.5,249.0,263.0,246.0,271.5,280.75,342.5,227.75,316.75,284.5,330.75,277.5,223.75,293.25,245.75,242.25,230.75,250.75,261.75
41,238.25,236.25,206.0,250.5,224.25,250.5,249.5,281.75,247.5,300.5,269.0,268.25,279.0,264.5,267.0,273.75,334.25,242.25,277.75,262.5,329.0,248.75,241.0,313.5,252.75,287.25,183.25,278.75,270.0
42,258.0,281.75,277.75,246.5,209.75,276.25,290.0,294.25,230.5,327.75,319.25,256.75,238.75,283.75,301.0,269.25,304.75,260.75,298.0,241.0,280.0,266.25,246.5,233.5,286.25,288.25,243.75,235.75,205.5
43,228.75,252.25,241.25,264.25,259.0,233.75,254.75,258.0,268.75,312.25,287.25,233.5,240.0,315.0,295.75,276.0,312.0,249.5,264.25,238.25,369.25,286.25,223.25,312.25,256.25,260.25,229.25,262.5,209.0
44,263.5,249.75,218.5,259.5,265.0,259.5,242.75,272.75,226.5,309.0,251.5,235.25,235.75,318.25,280.5,301.25,332.25,244.75,312.5,276.0,336.75,271.5,247.0,263.25,259.0,210.5,212.5,184.5,249.25
45,254.5,297.0,233.25,253.75,254.5,240.75,255.25,261.0,255.75,329.25,261.25,255.25,270.75,254.75,273.25,264.25,339.25,260.75,299.0,248.5,342.0,344.0,240.5,228.75,253.25,252.75,249.0,234.0,219.5
46,219.5,226.5,248.25,297.75,240.25,255.75,283.5,281.75,260.75,288.0,281.5,233.25,227.75,298.75,306.25,266.25,349.0,239.75,300.5,245.0,327.0,317.5,222.25,295.5,275.5,258.25,219.25,224.25,227.25
47,264.75,300.75,210.5,275.0,251.75,254.75,238.5,278.5,282.75,294.0,309.5,249.5,250.25,280.25,277.0,268.5,335.25,253.5,317.75,282.25,353.5,311.5,243.5,289.5,262.25,236.5,204.5,252.5,261.5
48,270.25,287.25,245.75,287.25,252.75,240.5,284.5,279.25,260.25,293.75,289.75,227.0,232.75,263.5,286.25,317.75,282.0,242.0,278.0,302.0,346.0,330.5,248.0,263.75,266.25,207.5,220.0,254.25,274.75
49,257.0,287.0,265.25,248.5,242.75,261.75,243.75,269.25,251.75,281.0,258.25,262.0,282.25,282.0,304.75,235.5,317.0,277.5,292.5,266.5,290.0,283.0,241.75,287.5,265.0,265.25,246.5,228.5,220.75
50,231.5,235.75,231.75,307.5,270.75,261.75,284.25,296.25,274.5,315.75,278.5,242.25,253.25,282.5,293.75,247.25,325.75,261.75,306.0,247.5,345.0,295.75,250.0,313.5,228.25,235.25,228.75,187.25,201.75
51,238.5,243.0,237.75,249.25,317.0,245.25,252.25,273.5,242.5,289.5,259.0,242.0,229.0,246.5,282.75,280.75,339.5,244.75,278.5,246.25,340.5,286.5,222.75,281.25,289.0,253.25,212.5,226.75,267.0
52,234.5,273.0,236.5,263.75,261.75,255.75,254.5,297.0,241.0,295.0,301.25,239.0,258.5,261.75,267.25,245.25,295.5,277.5,309.75,264.5,345.0,313.25,231.0,213.5,243.25,244.75,228.5,236.0,269.0
53,240.25,259.25,248.5,297.0,252.25,269.0,275.25,271.25,256.25,293.0,247.5,258.75,245.5,287.25,308.75,270.0,298.75,270.0,311.25,256.5,354.0,315.0,233.5,259.5,261.0,281.25,229.5,274.0,283.25
